California,29760021
New York,17990455
Texas,16986510
Florida,12937926
Pennsylvania,11881643
Illinois,11430602
Ohio,10847115
Michigan,9295297
New Jersey,7730188
North Carolina,6628637
Georgia,6478216
Virginia,6187358
Massachusetts,6016425
Indiana,5544159
Missouri,5117073
Wisconsin,4891769
Tennessee,4877185
Washington,4866692
Maryland,4781468
Minnesota,4375099
Louisiana,4219973
Alabama,4040587
Kentucky,3685296
Arizona,3665228
South Carolina,3486703
Colorado,3294394
Connecticut,3287116
Oklahoma,3145585
Oregon,2842321
Iowa,2776755
Mississippi,2573216
Kansas,2477574
Arkansas,2350725
West Virginia,1793477
Utah,1722850
Nebraska,1578385
New Mexico,1515069
Maine,1227928
Nevada,1201833
New Hampshire,1109252
Hawaii,1108229
Idaho,1006749
Rhode Island,1003464
Montana,799065
South Dakota,696004
Delaware,666168
North Dakota,638800
Vermont,562758
Alaska,550043
Wyoming,453588
